id;contact_id;name;interest;deletedAt;user_id;plan_stage_id;stage_order;not_company
265;498;"MasterCard ";1;NULL;271;NULL;NULL;0
266;501;"Visa ";1;NULL;271;NULL;NULL;0
267;497;"American Express";1;NULL;271;NULL;NULL;0
268;NULL;"Mazur - residencias de adulto mayor";2;NULL;273;NULL;NULL;0
269;NULL;"Hospital Exequiel Gonzalez Cortes";1;NULL;273;NULL;NULL;0
270;NULL;"Antofagasta Minerals";1;NULL;274;NULL;NULL;0
271;NULL;Sodimac;1;NULL;274;NULL;NULL;0
272;NULL;Falabella;1;NULL;274;NULL;NULL;0
273;NULL;Agrosúper;1;NULL;274;NULL;NULL;0
274;NULL;"Clinica Alemana";2;NULL;274;NULL;NULL;0
275;459;CCU;1;NULL;270;NULL;NULL;0
276;451;"Inmobiliaria Manquehue";1;NULL;274;3;1;0
277;NULL;Socovesa;2;NULL;274;NULL;NULL;0
278;456;Ripley;1;NULL;274;1;1;0
279;NULL;"Senior Suits";1;NULL;273;NULL;NULL;0
280;502;"Clinica Alemana";2;NULL;273;NULL;NULL;0
281;475;"grupo security";1;NULL;270;NULL;NULL;0
282;NULL;"Corredores de Seguros de Chile SA";3;NULL;273;NULL;NULL;0
283;NULL;Enel;1;NULL;274;NULL;NULL;0
284;NULL;Enap;1;NULL;274;NULL;NULL;0
285;NULL;"Seguros Falabella";3;NULL;273;NULL;NULL;0
286;NULL;"Paris corredores de Seguros";3;NULL;273;NULL;NULL;0
287;NULL;"Sigdo Koopers";2;NULL;274;NULL;NULL;0
288;NULL;"ILC Group ";2;NULL;273;NULL;NULL;0
289;NULL;"Cencosud Seguros";2;NULL;273;NULL;NULL;0
290;NULL;Metrogas;1;NULL;274;NULL;NULL;0
291;503;Scotiabank;2;NULL;271;NULL;NULL;0
292;504;GMAC;2;NULL;271;NULL;NULL;0
293;505;"Larrain Vial";2;NULL;271;NULL;NULL;0
294;NULL;"Embotelladora Andina";1;NULL;274;NULL;NULL;0
295;NULL;"Procter & Gamble";1;NULL;274;NULL;NULL;0
296;NULL;Unilever;1;NULL;274;NULL;NULL;0
297;NULL;Metro;1;NULL;274;NULL;NULL;0
298;NULL;Komatsu;2;NULL;274;NULL;NULL;0
299;NULL;BHP;2;NULL;274;NULL;NULL;0
300;NULL;"Mall Plaza";2;NULL;274;NULL;NULL;0
301;NULL;Soprole;2;NULL;274;NULL;NULL;0
302;NULL;Nestlé;2;NULL;274;NULL;NULL;0
303;NULL;Colbún;1;NULL;274;NULL;NULL;0
304;509;"Empresa 5";1;NULL;62;3;1;0
305;NULL;"Emrpesa 6";2;NULL;62;NULL;NULL;0
306;510;CMPC;1;NULL;62;2;2;0
307;NULL;Arauco;1;NULL;62;NULL;NULL;0
308;511;SAAM;1;NULL;206;3;7;0
309;512;Ultramar;1;NULL;206;3;2;0
310;513;"Dubai Port Chile / Puerto Central San Antonio, Puerto Lirquen";1;NULL;206;3;3;0
311;514;"Odfjell Terminals/ Puertos San Antonio, Mejillones";1;NULL;206;3;1;0
312;515;"Agunsa. Puertos en Coronel, Talcahuano, Calbuco y Valparaíso.";1;NULL;206;1;1;0
313;516;Oxxean;2;NULL;206;1;2;0
314;517;"Oxiquim/ Terminales en Puertos Ventana, Mejillones y Coronel";2;NULL;206;1;3;0
315;519;"Puerto Huasco/Guacolda ";1;NULL;206;1;4;0
316;520;"ENGIE / Puerto Tocopilla";1;NULL;206;3;19;0
317;521;"Puerto Ventanas / Sigdo Koppers";1;NULL;206;1;5;0
318;522;Optimisa;1;NULL;206;3;14;0
319;523;"Generadores ERNC";0;NULL;206;3;16;0
320;NULL;Energía;0;NULL;206;NULL;NULL;0
321;525;Generadoras;0;NULL;206;1;6;0
322;527;Concesionarias;0;NULL;206;3;21;0
324;529;Wartsilla;0;NULL;206;3;23;0
326;531;Colbun;0;NULL;206;1;8;0
327;532;Entel;0;NULL;206;3;25;0
328;534;"Puertos Latam";0;NULL;206;3;26;0
332;550;"Atlas Copco";1;NULL;44;NULL;NULL;0
333;551;Finning;1;NULL;44;NULL;NULL;0
334;555;"Puerto Panul San Antonio";1;NULL;206;1;9;0
335;NULL;"Complejo Portuario Mejillones";0;NULL;206;NULL;NULL;0
336;559;"Sector Tecnológico";1;NULL;206;3;32;0
338;558;TIVIT;1;NULL;206;1;10;0
339;565;"Metro S.A.";1;NULL;206;3;24;0
341;567;Coasin;1;NULL;206;1;11;0
342;569;ENAP;1;NULL;44;NULL;NULL;0
343;573;Fepasa;1;NULL;206;1;12;0
345;579;Codelco;1;NULL;206;2;10;0
346;580;Sonda;1;NULL;206;1;14;0
348;582;"contacto con empresas Tecnologicas y Portuarias";1;NULL;206;3;34;0
350;598;Universidades;2;NULL;206;3;37;0
351;600;AZVI;1;NULL;206;3;18;0
352;604;ENEL;1;NULL;206;2;3;0
353;611;"Marítimo Portuario Consultores";2;NULL;206;2;4;0
354;NULL;"Canal 13";1;NULL;258;NULL;NULL;0
356;NULL;Telefónica;0;NULL;258;NULL;NULL;0
357;624;Somarco-Cosco;1;NULL;206;1;15;0
359;NULL;"GTD Manquehue";1;NULL;258;NULL;NULL;0
360;NULL;Claro;1;NULL;258;NULL;NULL;0
361;NULL;Mega;1;NULL;258;NULL;NULL;0
362;NULL;"Nuevo Pudahuel";1;NULL;258;NULL;NULL;0
